2023-05-15 00:05:702 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (962d50516ee223e60d4a5ef398676c89)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:845 INFO  HomePage :27 - Top menu
2023-05-15 00:05:465 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:646 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:963 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:256 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:384 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:524 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> id: product_attribute_3_7]
2023-05-15 00:05:637 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> id: product_attribute_4_9]
2023-05-15 00:05:744 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> id: product_attribute_5_12]
2023-05-15 00:05:848 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:946 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (ab78fa6c58a7d9a661be2544baa3389f)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:561 INFO  HomePage :27 - Top menu
2023-05-15 00:05:553 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:713 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:866 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:54 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:151 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:254 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> id: product_attribute_3_7]
2023-05-15 00:05:357 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> id: product_attribute_4_9]
2023-05-15 00:05:424 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> id: product_attribute_5_12]
2023-05-15 00:05:491 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:572 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:612 INFO  HomePage :98 - Message After Adding To Cart [[ChromeDriver: chrome on WINDOWS (31e551d4837b77d43306e77ccdd19a27)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
